                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.92358,                0.69627,                 1.1818,                0.68918,                0.76849,                0.75333,                0.55886,                 1.1819,                 1.4352,                 1.5099,             0.00080653,             0.00080653,             0.00080653
                     46,                 0.8975,                0.68469,                 1.1521,                0.72771,                0.76015,                0.78279,                0.57672,                 1.1786,                 1.3841,                 1.5119,             0.00079238,             0.00079238,             0.00079238
                     47,                0.89996,                0.66828,                 1.1588,                 0.7261,                0.73011,                 0.6931,                0.47984,                 1.2056,                 1.4767,                 1.5434,             0.00077823,             0.00077823,             0.00077823
                     48,                 0.8791,                0.63978,                 1.1397,                0.74086,                 0.7446,                0.73976,                0.54506,                 1.1539,                 1.4695,                   1.48,             0.00076409,             0.00076409,             0.00076409
                     49,                0.89121,                0.65921,                  1.157,                0.73974,                0.74819,                0.75545,                0.55929,                 1.1245,                 1.3375,                 1.4818,             0.00074994,             0.00074994,             0.00074994
                     50,                0.86874,                0.65138,                 1.1297,                0.73383,                0.78591,                0.74334,                0.55241,                 1.1244,                 1.3442,                 1.4892,             0.00073579,             0.00073579,             0.00073579
                     51,                 0.8764,                0.63686,                 1.1481,                0.75143,                0.73118,                 0.7248,                  0.536,                 1.1439,                 1.4121,                 1.4865,             0.00072164,             0.00072164,             0.00072164
                     52,                0.86589,                0.63641,                 1.1315,                0.76043,                 0.7443,                0.76229,                 0.5764,                 1.1632,                 1.3839,                 1.5034,              0.0007075,              0.0007075,              0.0007075
                     53,                0.85715,                0.62252,                 1.1465,                0.73366,                0.73934,                0.75752,                0.57558,                 1.1289,                 1.3977,                 1.4704,             0.00069335,             0.00069335,             0.00069335
                     54,                0.83217,                0.61946,                 1.1091,                 0.7451,                0.75342,                0.73214,                0.55409,                 1.1246,                 1.4797,                 1.4543,              0.0006792,              0.0006792,              0.0006792
                     55,                0.81221,                0.58523,                 1.0997,                0.76485,                 0.7351,                 0.7731,                0.57169,                  1.143,                 1.3809,                 1.4861,             0.00066506,             0.00066506,             0.00066506
                     56,                0.84505,                0.58759,                 1.1265,                0.76906,                0.73072,                0.77143,                0.57134,                 1.1606,                 1.4282,                 1.5309,             0.00065091,             0.00065091,             0.00065091
                     57,                0.86765,                0.62377,                 1.1313,                0.74309,                 0.7654,                0.73932,                0.55783,                  1.117,                 1.4142,                 1.4865,             0.00063676,             0.00063676,             0.00063676
                     58,                0.83096,                0.59844,                 1.1219,                0.71768,                0.74839,                0.74059,                 0.5678,                 1.1417,                  1.437,                 1.4906,             0.00062262,             0.00062262,             0.00062262
                     59,                0.82966,                0.59655,                 1.1113,                0.74965,                0.75913,                0.76984,                0.58832,                 1.0824,                 1.4309,                 1.4323,             0.00060847,             0.00060847,             0.00060847
